,0,5,10,15,20,25,30,35,40
X,0,0,0,0,0,0,0.01548467,0,0
V,0,0,0,0,0.023227005,0.487767111,0.01548467,0,0
T,0,0,0.007742335,0.038711675,0.077423351,1.176834933,0.41034376,0,0
R,0,0,0.363889749,1.052957572,1.037472902,1.951068442,6.55775782,4.358934655,0.209043047
P,0,0,0.270981728,0.805202849,0.549705791,1.238773614,2.508516569,1.757510065,0.085165686
N,0,0,1.502013007,1.35490864,2.384639207,1.424589656,4.173118613,2.098172809,0.054196346
L,0,0,0.766491174,1.200061939,1.083926912,2.833694642,2.524001239,1.378135646,0.147104367
J,0,0,0,1.316196965,0.743264168,0.944564881,2.19108083,1.935583772,0.038711675
H,0,0,0.936822546,0.805202849,0.91359554,2.400123877,2.469804893,0.340662744,0.01548467
F,0,0.108392691,0.286466398,1.943326107,1.889129762,3.298234748,2.702074946,0.340662744,0.061938681
D,0,0.092908021,0.727779498,1.579436358,2.082688139,2.849179312,1.463301332,0.47228244,0.03096934
B,0,0,0.580675132,1.223288944,2.794982967,2.082688139,1.238773614,0.402601425,0.03096934
0,0,0.01548467,0.356147414,0.91359554,0,1.532982347,0.232270053,0.046454011,0
2,0,0,0.054196346,0.39485909,0.86714153,0.85165686,0.960049551,0,0
4,0,0,0,0.495509446,0.580675132,0.449055435,0.162589037,0.085165686,0
6,0,0,0,0.309693404,0.139362032,0.147104367,0.03096934,0.069681016,0.046454011
