,0,5,10,15,20,25,30,35,40
X,0,0,0,0,0,0,0,0,0
V,0,0,0,0,0.149476831,0.747384155,0,0,0
T,0,0,0,0.149476831,0,0.298953662,0.298953662,0,0
R,0,0,0.597907324,1.34529148,0.896860987,2.541106129,6.87593423,4.783258595,0.298953662
P,0,0,0,0.747384155,0.448430493,1.793721973,3.139013453,0.896860987,0
N,0,0,1.644245142,1.644245142,2.541106129,1.494768311,4.783258595,1.494768311,0.149476831
L,0,0,0.448430493,0.448430493,1.046337818,2.092675635,2.989536622,1.046337818,0
J,0,0,0,1.644245142,0.149476831,0.448430493,2.69058296,2.391629297,0
H,0,0,0.896860987,0.448430493,0.896860987,3.437967115,2.541106129,0.448430493,0
F,0,0.149476831,0.149476831,2.69058296,3.139013453,3.437967115,3.139013453,0.448430493,0.149476831
D,0,0.149476831,0.149476831,1.046337818,1.793721973,4.035874439,0.597907324,0.597907324,0.149476831
B,0,0,0.298953662,0.896860987,2.840059791,2.092675635,1.046337818,0.298953662,0
0,0,0,0.149476831,0.747384155,0,1.195814649,0.448430493,0,0
2,0,0,0,0.149476831,0.448430493,0.149476831,1.046337818,0,0
4,0,0,0,0.597907324,0.597907324,0.448430493,0.149476831,0.298953662,0
6,0,0,0,0.149476831,0.149476831,0.149476831,0,0,0
