,0,5,10,15,20,25,30,35,40
X,0,0,0,0,0,0,0.017277125,0,0
V,0,0,0,0,0.025915688,0.50967519,0.017277125,0,0
T,0,0,0.008638563,0.060469938,0.095024188,1.166205943,0.388735314,0,0
R,0,0,0.466482377,1.192121631,1.027988943,2.341050449,7.377332412,4.215618521,0.207325501
P,0,0,0.241879751,0.604699378,0.362819627,1.226675881,2.781617139,1.909122322,0.017277125
N,0,0,1.071181755,1.338977194,3.083966828,1.736351071,4.302004147,2.116447823,0.051831375
L,0,0,0.976157567,1.313061507,0.794747754,2.565653075,2.790255701,1.123013131,0.146855563
J,0,0,0,1.114374568,0.466482377,0.881133379,2.401520387,2.151002073,0.043192813
H,0,0,1.010711818,0.742916379,0.518313753,3.014858328,2.047339323,0.215964064,0.017277125
F,0,0.120939876,0.285072564,2.159640636,1.624049758,3.265376641,2.470628887,0.293711126,0.060469938
D,0,0.103662751,0.786109191,1.624049758,2.099170698,2.703870076,1.226675881,0.50967519,0.017277125
B,0,0,0.466482377,1.451278507,2.807532827,1.744989634,1.347615757,0.371458189,0.025915688
0,0,0.017277125,0.380096752,0.95024188,0,1.235314444,0.241879751,0.051831375,0
2,0,0,0.077747063,0.466482377,0.656530753,0.881133379,0.621976503,0,0
4,0,0,0,0.501036628,0.665169316,0.483759502,0.129578438,0.095024188,0
6,0,0,0,0.336903939,0.120939876,0.043192813,0.043192813,0.077747063,0.060469938
