,0,5,10,15,20,25,30,35,40
X,0,0,0,0,0,0,0,0,0
V,0,0,0,0,0.169491525,0.508474576,0,0,0
T,0,0,0,0.169491525,0,0.508474576,0.508474576,0,0
R,0,0,1.016949153,1.186440678,0.847457627,3.050847458,8.813559322,4.06779661,0.169491525
P,0,0,0,0.338983051,0.338983051,1.355932203,2.881355932,1.355932203,0
N,0,0,1.525423729,1.186440678,2.711864407,1.525423729,4.406779661,1.355932203,0.169491525
L,0,0,0.677966102,0.677966102,0.508474576,1.694915254,2.881355932,0.677966102,0
J,0,0,0,1.86440678,0.169491525,0.338983051,2.711864407,3.220338983,0
H,0,0,1.016949153,0.169491525,0.338983051,3.559322034,2.033898305,0.338983051,0
F,0,0.169491525,0.169491525,2.033898305,1.86440678,2.881355932,2.881355932,0.508474576,0.169491525
D,0,0.169491525,0.169491525,1.86440678,2.203389831,4.576271186,1.186440678,0.508474576,0.169491525
B,0,0,0.169491525,1.355932203,3.559322034,2.033898305,1.186440678,0.338983051,0
0,0,0,0.338983051,0.847457627,0,0.677966102,0.338983051,0,0
2,0,0,0,0.338983051,0.338983051,0.169491525,0.847457627,0,0
4,0,0,0,0.677966102,0.677966102,0.508474576,0.338983051,0.338983051,0
6,0,0,0,0.169491525,0.169491525,0,0,0,0
