Date,Time,BLOCK,Cblock,lat,lon,ABO,ALF,ARD,BEN,CHN,DAU,DOU,FID,GER,ILA,KAS,KEV,LAF,LAN,MAC,MAS,MOR,MUG,SAM,TAL,TRS,URS,GroupA,GroupB,GroupA_TF,GroupB_TF,
01/10/2015,07:00,27B,25B,1.725720959,31.56794501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,B
01/10/2015,07:15,27B,25B,1.725720959,31.56794501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,B
01/10/2015,07:30,27B,25B,1.725720959,31.56794501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,B
01/10/2015,08:00,27B,25B,1.725720959,31.56794501,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,BTH
01/10/2015,08:15,27B,25B,1.725720959,31.56794501,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,BTH
01/10/2015,08:45,22B,20B,1.725783991,31.56343102,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,BTH
01/10/2015,09:00,22B,20B,1.725783991,31.56343102,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,BTH
01/10/2015,09:15,22B,20B,1.725783991,31.56343102,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,1,1,BTH
01/10/2015,09:30,22B,20B,1.725783991,31.56343102,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,1,1,BTH
01/10/2015,09:45,22B,20B,1.725783991,31.56343102,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,1,1,BTH
01/10/2015,10:00,22B,20B,1.725783991,31.56343102,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,1,1,BTH
01/10/2015,10:15,22B,20B,1.725783991,31.56343102,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,1,1,BTH
01/10/2015,10:30,22B,20B,1.725783991,31.56343102,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,1,1,BTH
01/10/2015,10:45,22B,20B,1.725783991,31.56343102,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,1,1,BTH
01/10/2015,11:00,22B,20B,1.725783991,31.56343102,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,1,1,BTH
01/10/2015,11:15,22B,20B,1.725783991,31.56343102,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,1,1,BTH
01/10/2015,11:30,22B,20B,1.725783991,31.56343102,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,1,1,BTH
01/10/2015,11:45,22B,20B,1.725783991,31.56343102,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,1,1,BTH
01/10/2015,12:00,22B,20B,1.725783991,31.56343102,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,1,1,BTH
01/10/2015,12:15,22B,20B,1.725783991,31.56343102,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,1,1,BTH
01/10/2015,12:30,22B,20B,1.725783991,31.56343102,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,1,1,BTH
01/10/2015,12:45,22B,20B,1.725783991,31.56343102,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,1,1,BTH
02/10/2015,07:15,270,250,1.720032999,31.54681097,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,1,BTH
02/10/2015,07:30,270,250,1.720032999,31.54681097,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,1,BTH
02/10/2015,07:45,270,250,1.720032999,31.54681097,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,1,BTH
02/10/2015,08:00,270,250,1.720032999,31.54681097,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,1,BTH
02/10/2015,08:30,270,250,1.720032999,31.54681097,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,5,2,1,1,BTH
02/10/2015,08:45,270,250,1.720032999,31.54681097,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,5,2,1,1,BTH
02/10/2015,09:00,270,250,1.720032999,31.54681097,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,5,2,1,1,BTH
02/10/2015,09:15,270,250,1.720032999,31.54681097,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,5,3,1,1,BTH
02/10/2015,09:30,270,250,1.720032999,31.54681097,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,6,3,1,1,BTH
02/10/2015,09:45,270,250,1.720032999,31.54681097,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,6,3,1,1,BTH
02/10/2015,10:00,270,250,1.720032999,31.54681097,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,6,3,1,1,BTH
02/10/2015,10:15,270,250,1.720032999,31.54681097,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,6,3,1,1,BTH
02/10/2015,10:30,254,254,1.719674673,31.56832773,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,6,3,1,1,BTH
02/10/2015,10:45,254,254,1.719674673,31.56832773,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,6,3,1,1,BTH
02/10/2015,11:00,254,254,1.719674673,31.56832773,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,6,3,1,1,BTH
02/10/2015,11:15,254,254,1.719674673,31.56832773,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,6,3,1,1,BTH
04/10/2015,10:15,300,300,1.724120015,31.57233302,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,BTH
04/10/2015,10:30,300,300,1.724120015,31.57233302,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,BTH
04/10/2015,10:45,300,300,1.724120015,31.57233302,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,BTH
04/10/2015,11:15,290,250,1.720032999,31.54681097,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,4,1,1,1,BTH
04/10/2015,11:30,290,250,1.720032999,31.54681097,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,4,1,1,1,BTH
04/10/2015,11:45,290,250,1.720032999,31.54681097,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,4,1,1,1,BTH
04/10/2015,12:00,270,250,1.720032999,31.54681097,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,4,1,1,1,BTH
04/10/2015,12:15,270,250,1.720032999,31.54681097,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,4,1,1,1,BTH
04/10/2015,12:30,270,250,1.720032999,31.54681097,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,4,1,1,1,BTH
05/10/2015,08:00,250,250,1.720032999,31.54681097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,A
05/10/2015,08:15,250,250,1.720032999,31.54681097,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,BTH
05/10/2015,08:30,250,250,1.720032999,31.54681097,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,BTH
05/10/2015,08:45,250,250,1.720032999,31.54681097,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,BTH
05/10/2015,09:00,252,252,1.722061001,31.56823704,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,B
05/10/2015,09:15,252,252,1.722061001,31.56823704,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,B
05/10/2015,09:30,252,252,1.722061001,31.56823704,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,B
05/10/2015,09:45,252,252,1.722061001,31.56823704,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,B
05/10/2015,10:00,252,252,1.722061001,31.56823704,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,2,1,1,BTH
