Date,Time,BLOCK,Cblock,lat,lon,ABO,ALF,ARD,BEN,CHN,DAU,DOU,FID,GER,ILA,KAS,KEV,LAF,LAN,MAC,MAS,MOR,MUG,SAM,TAL,TRS,URS
01/10/2015,07:00,27B,25B,1.725720959,31.56794501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
02/10/2015,07:15,270,250,1.720032999,31.54681097,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
04/10/2015,10:15,300,300,1.724120015,31.57233302,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/10/2015,08:00,250,250,1.720032999,31.54681097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
07/10/2015,07:15,20P,20P,1.739070984,31.56355499,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
10/10/2015,08:45,220,20 0,1.724181036,31.56353001,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
13/10/2015,09:45,270,250,1.720032999,31.54681097,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
16/10/2015,08:00,29D,25D,1.727356017,31.567857,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17/10/2015,08:45,322,304,1.719636032,31.57230503,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18/10/2015,08:00,206,206,1.718372963,31.56371098,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1
22/10/2015,12:30,32R,30R,1.740334975,31.57222398,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23/10/2015,08:00,32P,30P,1.739380024,31.57213404,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0
25/10/2015,08:00,30J,30J,1.733300965,31.57212901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
28/10/2015,07:30,30H,30H,1.731982995,31.57225801,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
30/10/2015,07:15,30H,30H,1.731982995,31.57225801,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
31/10/2015,09:15,30R,30R,1.740334975,31.57222398,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/11/2015,09:00,30F,30F,1.729244962,31.57237401,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
03/11/2015,09:00,320,302,1.721977433,31.57211677,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
04/11/2015,12:00,17N,15N,1.736797979,31.55892801,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
07/12/2015,08:30,32H,30H,1.731982995,31.57225801,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
09/12/2015,09:00,35P,35P,1.738795973,31.57720702,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
10/12/2015,10:00,30R,30R,1.740334975,31.57222398,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11/12/2015,07:45,37R,35R,1.740344027,31.57725899,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
15/12/2015,08:00,35R,35R,1.740344027,31.57725899,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
16/12/2015,08:30,37P,35P,1.738795973,31.57720702,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17/12/2015,08:45,37R,35R,1.740344027,31.57725899,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18/12/2015,08:00,37R,35R,1.740344027,31.57725899,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
