ID,DOB,Age_2015,Group
ABO,1997,18,Waibira_B
ALF,1998,17,Waibira_A
ARD,2005,10,Waibira_B
BEN,1992,23,Waibira_A
CHN,1991,24,Waibira_B
DAU,2004,11,Waibira_B
DOU,1976,39,Waibira_A
FID,2002,13,Waibira_A
GER,1993,22,Waibira_A
ILA,1999,16,Waibira_B
KAS,1995,20,Waibira_B
KEV,1981,34,Waibira_B
LAF,2003,12,Waibira_B
LAN,2002,13,Waibira_B
MAC,1998,17,Waibira_A
MAS,2003,12,Waibira_A
MOR,1984,31,Waibira_B
MUG,2003,12,Waibira_B
SAM,1999,16,Waibira_B
TAL,1976,39,Waibira_A
TRS,1986,29,Waibira_A
URS,1987,28,Waibira_B
