,0,5,10,15,20,25,30,35,40
X,0,0,0,0,0,0,0.000140371,0,0
V,0,0,0,0,0,0.002737226,0.000140371,0,0
T,0,0,0,0,0.000350926,0.004351488,0.001754632,0,0
R,0,0,0.003088153,0.007088714,0.00596575,0.009545199,0.049831555,0.031793936,0.001473891
P,0,0,0.002456485,0.006316676,0.002877597,0.00596575,0.016563728,0.010738349,0.000421112
N,0,0,0.01340539,0.009124088,0.020002807,0.007790567,0.026880966,0.014107243,0
L,0,0,0.006527232,0.008071308,0.003158338,0.019651881,0.020072993,0.00982594,0.000280741
J,0,0,0,0.005614823,0.00252667,0.007580011,0.015510949,0.009404829,0
H,0,0,0.008001123,0.004632229,0.005193711,0.017405952,0.015651319,0.000912409,0
F,0,0.000982594,0.0023863,0.013686131,0.01340539,0.02309096,0.01937114,0.001824818,0.000140371
D,0,0.000842223,0.005614823,0.009966311,0.016633914,0.023582257,0.011791129,0.004211117,7.01853E-05
B,0,0,0.004351488,0.00982594,0.024564851,0.01221224,0.010176867,0.002667041,0
0,0,0.000140371,0.003228523,0.007580011,0,0.01326502,0.002105559,0.000421112,0
2,0,0,0.000631668,0.003509264,0.007650197,0.007860752,0.008352049,0,0
4,0,0,0,0.004491859,0.004351488,0.003649635,0.00133352,0.000701853,0
6,0,0,0,0.002807412,0.001263335,0.00133352,0.000280741,0.000631668,0
