,0,5,10,15,20,25,30,35,40
X,0,0,0,0,0,0,0,0,0
V,0,0,0,0,0.001270648,0.00635324,0,0,0
T,0,0,0,0.001270648,0,0.003811944,0.003811944,0,0
R,0,0,0.005082592,0.011435832,0.007623888,0.022871665,0.063532402,0.040660737,0.002541296
P,0,0,0,0.00635324,0.003811944,0.017789072,0.026683609,0.007623888,0
N,0,0,0.013977128,0.013977128,0.024142313,0.01270648,0.041931385,0.01270648,0.001270648
L,0,0,0.005082592,0.007623888,0.008894536,0.021601017,0.029224905,0.008894536,0
J,0,0,0,0.016518424,0.001270648,0.003811944,0.022871665,0.020330368,0
H,0,0,0.007623888,0.003811944,0.007623888,0.031766201,0.022871665,0.003811944,0
F,0,0.001270648,0.001270648,0.024142313,0.027954257,0.031766201,0.030495553,0.003811944,0.001270648
D,0,0.001270648,0.001270648,0.010165184,0.016518424,0.039390089,0.00635324,0.005082592,0.001270648
B,0,0,0.002541296,0.008894536,0.027954257,0.017789072,0.008894536,0.002541296,0
0,0,0,0.002541296,0.00635324,0,0.010165184,0.005082592,0,0
2,0,0,0,0.001270648,0.003811944,0.001270648,0.010165184,0,0
4,0,0,0,0.005082592,0.005082592,0.003811944,0.001270648,0.002541296,0
6,0,0,0,0.001270648,0.001270648,0.001270648,0,0,0
