,0,5,10,15,20,25,30,35,40
X,0,0,0,0,0,0,0,0,0
V,0,0,0,0,0.001811594,0.005434783,0,0,0
T,0,0,0,0,0,0.003623188,0.005434783,0,0
R,0,0,0.010869565,0.012681159,0.009057971,0.027173913,0.079710145,0.043478261,0.001811594
P,0,0,0,0.003623188,0.003623188,0.012681159,0.025362319,0.010869565,0
N,0,0,0.016304348,0.010869565,0.023550725,0.009057971,0.036231884,0.014492754,0
L,0,0,0.007246377,0.007246377,0.005434783,0.016304348,0.027173913,0.007246377,0
J,0,0,0,0.016304348,0,0.003623188,0.027173913,0.030797101,0
H,0,0,0.009057971,0.001811594,0.001811594,0.030797101,0.018115942,0.003623188,0
F,0,0.001811594,0.001811594,0.018115942,0.016304348,0.025362319,0.018115942,0.005434783,0.001811594
D,0,0.001811594,0.001811594,0.018115942,0.02173913,0.038043478,0.012681159,0.003623188,0.001811594
B,0,0,0.001811594,0.009057971,0.027173913,0.02173913,0.012681159,0.003623188,0
0,0,0,0.003623188,0.009057971,0,0.003623188,0.001811594,0,0
2,0,0,0,0.003623188,0.003623188,0.001811594,0.007246377,0,0
4,0,0,0,0.007246377,0.007246377,0.005434783,0.001811594,0.003623188,0
6,0,0,0,0.001811594,0.001811594,0,0,0,0
